dataset,subject,session,pipeline,metric,score,fold,fold_policy,n_train,n_test,n_channels,time
Miller2019-motor_basic,hh,0,HighGamma+LDA,kappa,0.47058823529411764,1,chronological,48,12,41,0.30305933952331543
Miller2019-motor_basic,hh,0,HighGamma+LDA,accuracy,0.75,1,chronological,48,12,41,0.30305933952331543
Miller2019-motor_basic,hh,0,HighGamma+LDA,balanced_accuracy,0.7285714285714285,1,chronological,48,12,41,0.30305933952331543
Miller2019-motor_basic,hh,0,LogBandPower+LDA,kappa,0.8235294117647058,2,chronological,48,12,41,0.31891489028930664
Miller2019-motor_basic,hh,0,LogBandPower+LDA,accuracy,0.9166666666666666,2,chronological,48,12,41,0.31891489028930664
Miller2019-motor_basic,hh,0,LogBandPower+LDA,balanced_accuracy,0.9375,2,chronological,48,12,41,0.31891489028930664
Miller2019-motor_basic,hh,0,HighGamma+LDA,kappa,0.6666666666666667,2,chronological,48,12,41,0.30101990699768066
Miller2019-motor_basic,hh,0,HighGamma+LDA,accuracy,0.8333333333333334,2,chronological,48,12,41,0.30101990699768066
Miller2019-motor_basic,hh,0,HighGamma+LDA,balanced_accuracy,0.875,2,chronological,48,12,41,0.30101990699768066
Miller2019-motor_basic,hh,0,LogBandPower+LDA,kappa,1.0,3,chronological,48,12,41,0.3234281539916992
