dataset,subject,session,pipeline,metric,score,fold,n_train,n_test,n_channels,time
Miller2019-imagery_basic,jm,im,HighGamma+LDA,balanced_accuracy,0.9166666666666667,4,48,12,64,0.47095704078674316
Miller2019-imagery_basic,jm,im,HighGamma+LDA,kappa,0.8333333333333334,4,48,12,64,0.47095704078674316
Miller2019-imagery_basic,rh,mot,HighGamma+LDA,accuracy,0.9166666666666666,0,48,12,64,0.46640849113464355
Miller2019-imagery_basic,rh,mot,HighGamma+LDA,balanced_accuracy,0.9375,0,48,12,64,0.46640849113464355
Miller2019-imagery_basic,rh,mot,HighGamma+LDA,kappa,0.8235294117647058,0,48,12,64,0.46640849113464355
Miller2019-imagery_basic,rh,mot,HighGamma+LDA,accuracy,0.9166666666666666,1,48,12,64,0.4703495502471924
Miller2019-imagery_basic,rh,mot,HighGamma+LDA,balanced_accuracy,0.9285714285714286,1,48,12,64,0.4703495502471924
Miller2019-imagery_basic,rh,mot,HighGamma+LDA,kappa,0.8333333333333334,1,48,12,64,0.4703495502471924
Miller2019-imagery_basic,rh,mot,HighGamma+LDA,accuracy,1.0,2,48,12,64,0.4709770679473877
Miller2019-imagery_basic,rh,mot,HighGamma+LDA,balanced_accuracy,1.0,2,48,12,64,0.4709770679473877
Miller2019-imagery_basic,rh,mot,HighGamma+LDA,kappa,1.0,2,48,12,64,0.4709770679473877
Miller2019-imagery_basic,rh,mot,HighGamma+LDA,accuracy,1.0,3,48,12,64,0.4764373302459717
Miller2019-imagery_basic,rh,mot,HighGamma+LDA,balanced_accuracy,1.0,3,48,12,64,0.4764373302459717
Miller2019-imagery_basic,rh,mot,HighGamma+LDA,kappa,1.0,3,48,12,64,0.4764373302459717
Miller2019-imagery_basic,rh,mot,HighGamma+LDA,accuracy,0.9166666666666666,4,48,12,64,0.4734976291656494
Miller2019-imagery_basic,rh,mot,HighGamma+LDA,balanced_accuracy,0.9166666666666667,4,48,12,64,0.4734976291656494
Miller2019-imagery_basic,rh,mot,HighGamma+LDA,kappa,0.8333333333333334,4,48,12,64,0.4734976291656494
Miller2019-imagery_basic,rh,im,HighGamma+LDA,accuracy,0.8333333333333334,0,48,12,64,0.47120165824890137
Miller2019-imagery_basic,rh,im,HighGamma+LDA,balanced_accuracy,0.8,0,48,12,64,0.47120165824890137
Miller2019-imagery_basic,rh,im,HighGamma+LDA,kappa,0.6363636363636364,0,48,12,64,0.47120165824890137
Miller2019-imagery_basic,rh,im,HighGamma+LDA,accuracy,0.6666666666666666,1,48,12,64,0.47120165824890137
Miller2019-imagery_basic,rh,im,HighGamma+LDA,balanced_accuracy,0.6857142857142857,1,48,12,64,0.47120165824890137
Miller2019-imagery_basic,rh,im,HighGamma+LDA,kappa,0.3513513513513513,1,48,12,64,0.47120165824890137
Miller2019-imagery_basic,rh,im,HighGamma+LDA,accuracy,0.6666666666666666,2,48,12,64,0.46253108978271484
Miller2019-imagery_basic,rh,im,HighGamma+LDA,balanced_accuracy,0.7142857142857143,2,48,12,64,0.46253108978271484
Miller2019-imagery_basic,rh,im,HighGamma+LDA,kappa,0.3846153846153846,2,48,12,64,0.46253108978271484
Miller2019-imagery_basic,rh,im,HighGamma+LDA,accuracy,0.8333333333333334,3,48,12,64,0.47499704360961914
Miller2019-imagery_basic,rh,im,HighGamma+LDA,balanced_accuracy,0.8333333333333334,3,48,12,64,0.47499704360961914
Miller2019-imagery_basic,rh,im,HighGamma+LDA,kappa,0.6666666666666667,3,48,12,64,0.47499704360961914
Miller2019-imagery_basic,rh,im,HighGamma+LDA,accuracy,0.4166666666666667,4,48,12,64,0.47229433059692383
Miller2019-imagery_basic,rh,im,HighGamma+LDA,balanced_accuracy,0.35714285714285715,4,48,12,64,0.47229433059692383
Miller2019-imagery_basic,rh,im,HighGamma+LDA,kappa,-0.3124999999999998,4,48,12,64,0.47229433059692383
Miller2019-imagery_basic,rr,mot,HighGamma+LDA,accuracy,1.0,0,48,12,64,0.47049975395202637
Miller2019-imagery_basic,rr,mot,HighGamma+LDA,balanced_accuracy,1.0,0,48,12,64,0.47049975395202637
Miller2019-imagery_basic,rr,mot,HighGamma+LDA,kappa,1.0,0,48,12,64,0.47049975395202637
Miller2019-imagery_basic,rr,mot,HighGamma+LDA,accuracy,1.0,1,48,12,64,0.4686014652252197
Miller2019-imagery_basic,rr,mot,HighGamma+LDA,balanced_accuracy,1.0,1,48,12,64,0.4686014652252197
Miller2019-imagery_basic,rr,mot,HighGamma+LDA,kappa,1.0,1,48,12,64,0.4686014652252197
Miller2019-imagery_basic,rr,mot,HighGamma+LDA,accuracy,1.0,2,48,12,64,0.46660327911376953
Miller2019-imagery_basic,rr,mot,HighGamma+LDA,balanced_accuracy,1.0,2,48,12,64,0.46660327911376953
