dataset,subject,session,pipeline,metric,score,fold,n_train,n_test,n_channels,time
Miller2019-motor_basic,hh,0,LogBandPower+LDA,accuracy,0.8333333333333334,1,48,12,41,0.5307576656341553
Miller2019-motor_basic,hh,0,LogBandPower+LDA,balanced_accuracy,0.8,1,48,12,41,0.5307576656341553
Miller2019-motor_basic,hh,0,LogBandPower+LDA,kappa,0.6363636363636364,1,48,12,41,0.5307576656341553
Miller2019-motor_basic,hh,0,HighGamma+LDA,accuracy,0.75,1,48,12,41,0.30008625984191895
Miller2019-motor_basic,hh,0,HighGamma+LDA,balanced_accuracy,0.7285714285714285,1,48,12,41,0.30008625984191895
Miller2019-motor_basic,hh,0,HighGamma+LDA,kappa,0.47058823529411764,1,48,12,41,0.30008625984191895
Miller2019-motor_basic,hh,0,LogBandPower+LDA,accuracy,0.9166666666666666,2,48,12,41,0.5250067710876465
Miller2019-motor_basic,hh,0,LogBandPower+LDA,balanced_accuracy,0.9375,2,48,12,41,0.5250067710876465
Miller2019-motor_basic,hh,0,LogBandPower+LDA,kappa,0.8235294117647058,2,48,12,41,0.5250067710876465
Miller2019-motor_basic,hh,0,HighGamma+LDA,accuracy,0.8333333333333334,2,48,12,41,0.2951388359069824
Miller2019-motor_basic,hh,0,HighGamma+LDA,balanced_accuracy,0.875,2,48,12,41,0.2951388359069824
Miller2019-motor_basic,hh,0,HighGamma+LDA,kappa,0.6666666666666667,2,48,12,41,0.2951388359069824
Miller2019-motor_basic,hh,0,LogBandPower+LDA,accuracy,1.0,3,48,12,41,0.5278782844543457
Miller2019-motor_basic,hh,0,LogBandPower+LDA,balanced_accuracy,1.0,3,48,12,41,0.5278782844543457
Miller2019-motor_basic,hh,0,LogBandPower+LDA,kappa,1.0,3,48,12,41,0.5278782844543457
Miller2019-motor_basic,hh,0,HighGamma+LDA,accuracy,0.8333333333333334,3,48,12,41,0.29313039779663086
Miller2019-motor_basic,hh,0,HighGamma+LDA,balanced_accuracy,0.8,3,48,12,41,0.29313039779663086
Miller2019-motor_basic,hh,0,HighGamma+LDA,kappa,0.6363636363636364,3,48,12,41,0.29313039779663086
Miller2019-motor_basic,hh,0,LogBandPower+LDA,accuracy,0.9166666666666666,4,48,12,41,0.5328249931335449
Miller2019-motor_basic,hh,0,LogBandPower+LDA,balanced_accuracy,0.9444444444444444,4,48,12,41,0.5328249931335449
Miller2019-motor_basic,hh,0,LogBandPower+LDA,kappa,0.8,4,48,12,41,0.5328249931335449
Miller2019-motor_basic,hh,0,HighGamma+LDA,accuracy,0.75,4,48,12,41,0.29276204109191895
